subject_id,gender,age
sub1,Female,17.05555556
sub2,Female,14.575
sub3,Male,13.91944444
sub4,Male,12.29722222
sub5,Male,14.23888889
sub6,Female,12.15
sub7,Female,15.5
sub8,Male,17.59722222
sub9,Female,8.258333333
sub10,Female,13.97222222
sub11,Female,10.41666667
sub12,Male,13.84166667
sub13,Male,10.45
sub14,Male,15.81111111
sub15,Female,8.369444444
sub16,Female,17.9
sub17,Female,10.61666667
sub18,Female,9.577777778
sub19,Male,11.54722222
sub20,Male,11.31388889
sub21,Female,17.08611111
sub22,Female,16.61388889
sub23,Female,13.30277778
sub24,Male,15.45
sub25,Male,9.808333333
sub26,Male,9.808333333
sub27,Female,15.91388889
sub28,Male,13.36944444
sub29,Female,9.925
sub30,Male,10.16388889
sub31,Female,12.85833333
sub32,Female,9.93
sub33,Female,8.797222222
sub34,Female,10.70555556
sub35,Male,14.18333333
sub36,Male,12.12777778
sub37,Male,12.8
sub38,Female,9.397222222
sub39,Male,11.97222222
sub40,Female,11.40555556
sub41,Male,8.513888889
sub42,Male,12.36111111
sub43,Female,14.72777778
sub44,Female,13.75
sub45,Female,8.45
sub46,Male,8.505555556
sub47,Male,11.26111111
sub48,Male,14.26111111
sub49,Male,11.58611111
sub50,Male,14.92222222
sub51,Female,16.33055556
sub52,Female,10.96111111
sub53,Male,10.83888889
sub54,Male,13.43333333
sub55,Female,11.73888889
sub56,Male,16.61388889
sub57,Female,14.70277778
sub58,Male,9.408333333
sub59,Male,15.11666667
sub60,Male,16.71111111
sub61,Female,9.080555556
sub62,Female,17.22777778
sub63,Female,16.16111111
sub64,Male,8.213888889
sub65,Female,17.69444444
sub66,Male,16.72222222
sub67,Male,17.63055556
sub68,Female,14.83333333
sub69,Female,16.96666667
sub70,Female,16.93611111
sub71,Female,15.25
sub72,Male,16.63055556
sub73,Male,15.70833333
sub74,Male,16.325
sub75,Male,17.96666667
sub76,Female,13.22777778
sub77,Female,15.07777778
sub78,Male,13.84166667
sub79,Female,13.35555556
sub80,Female,16.93611111
sub81,Female,12.78611111
sub82,Female,12.34444444
sub83,Male,14.45833333
sub84,Male,8.302777778
sub85,Male,17.78611111
sub86,Male,11.24722222
sub87,Male,12.02777778
sub88,Male,17.29722222
sub89,Male,8.102777778
sub90,Male,9.563888889
sub91,Male,15.28055556
sub92,Male,10.00833333
sub93,Female,8.09
sub94,Male,10.85277778
sub95,Female,11.26388889
sub96,Female,11.375
sub97,Female,11.03
sub98,Female,14.79
sub99,Female,12.40555556
sub100,Female,10.71388889
sub101,Female,18.47777778
sub102,Female,18.24722222
sub103,Female,18.77222222
sub104,Female,19.88055556
sub105,Male,18.56111111
sub106,Male,25.01944444
sub107,Female,19.84722222
sub108,Male,20.25277778
sub109,Female,21.52777778
sub110,Male,23.40277778
sub111,Male,21.33611111
sub112,Male,21.34166667
sub113,Male,22.72222222
sub114,Male,23.16388889
sub115,Male,24.38333333
sub116,Male,18.32777778
sub117,Female,20.03333333
sub118,Female,24.66666667
sub119,Male,22.95833333
sub120,Female,23.34166667
sub121,Male,20.45555556
sub122,Male,22.6
sub123,Male,20.02777778
sub124,Male,19.22777778
sub125,Female,19.80277778
sub126,Female,21.48055556
sub127,Male,23.35833333
sub128,Male,18.61111111
sub129,Male,19.55277778
sub130,Female,23.81388889
sub131,Female,22.87222222
sub132,Female,19.76666667
sub133,Female,25.69166667
sub134,Male,21.475
sub135,Female,25.21388889
sub136,Female,20.88333333
sub137,Female,25.26111111
sub138,Female,24.06111111
sub139,Female,23.025
sub140,Female,25.24722222
sub141,Female,22.37777778
sub142,Female,20.42222222
sub143,Female,21.9
sub144,Male,25.48611111
sub145,Male,25.25277778
sub146,Female,20.44722222
sub147,Male,19.79722222
sub148,Male,25.15833333
sub149,Female,22.35
sub150,Male,18.26666667
sub151,Male,23.35555556