subject_id,age,explicit_q_correct,gender
1907,8.05,1,M
2081,8.5,1,M
1864,8.74,1,F
2254,8.92,1,M
1456,9.12,1,M
1834,9.3,1,F
1835,9.3,1,M
2197,9.31,1,F
1364,9.32,1,F
2125,9.71,1,M
2082,9.94,1,F
2243,10.05,1,F
2059,10.6,1,F
1055,10.61,1,M
2010,10.63,1,F
2076,10.75,1,M
2292,10.8,1,F
2012,10.92,1,M
1829,11.42,1,M
2119,11.65,1,F
1964,11.76,1,M
1236,12.06,1,M
829,12.51,1,F
2075,12.62,1,F
2091,12.91,1,F
2102,12.91,1,F
1363,13.57,0,F
2303,13.57,1,F
2299,13.58,1,M
2291,13.6,1,M
1974,13.66,0,F
1955,13.8,1,F
2278,13.95,1,M
1816,14.22,1,M
2302,14.5,1,F
1600,14.86,1,F
1973,15.01,1,M
2105,15.25,1,F
2293,15.37,1,M
1506,15.64,1,F
1956,15.8,1,F
1275,15.97,1,F
1237,16.08,0,M
2246,16.61,1,F
1963,16.76,1,F
1982,17.1546,1,M
2007,17.18,1,M
1385,17.29,0,F
1238,17.83,1,M
2139,18.19722222,1,M
2151,18.5,1,M
2148,18.78,1,M
1617,19.04,1,M
2253,19.46,1,F
2083,19.72,1,M
2009,20.34,1,F
1949,20.41,1,M
2169,20.97,0,F
1976,21.14,1,F
2002,21.9,1,F
2140,22.07,1,F
2153,22.27,1,F
2006,22.3,1,M
2152,22.37,1,F
1906,23.35,1,F
2095,23.69,1,M
2300,23.75,1,F
2077,23.9,1,F
2251,23.97,0,F
2089,24.5247,1,M
2298,24.6,1,F
2162,24.74,0,F
2159,25.81,0,M
2079,25.89,1,M